	[1, 1]	[1, 2]	[1, 3]	[1, 4]	[1, 5]	[1, 6]	[1, 7]	[1, 8]	[1, 9]	[1, 10]	[2, 1]	[2, 2]	[2, 3]	[2, 4]	[2, 5]	[2, 6]	[2, 7]	[2, 8]	[2, 9]	[2, 10]	[3, 1]	[3, 2]	[3, 3]	[3, 4]	[3, 5]	[3, 6]	[3, 7]	[3, 8]	[3, 9]	[3, 10]	[4, 1]	[4, 2]	[4, 3]	[4, 4]	[4, 5]	[4, 6]	[4, 7]	[4, 8]	[4, 9]	[4, 10]	[5, 1]	[5, 2]	[5, 3]	[5, 4]	[5, 5]	[5, 6]	[5, 7]	[5, 8]	[5, 9]	[5, 10]	[6, 1]	[6, 2]	[6, 3]	[6, 4]	[6, 5]	[6, 6]	[6, 7]	[6, 8]	[6, 9]	[6, 10]	[7, 1]	[7, 2]	[7, 3]	[7, 4]	[7, 5]	[7, 6]	[7, 7]	[7, 8]	[7, 9]	[7, 10]	[8, 1]	[8, 2]	[8, 3]	[8, 4]	[8, 5]	[8, 6]	[8, 7]	[8, 8]	[8, 9]	[8, 10]	[9, 1]	[9, 2]	[9, 3]	[9, 4]	[9, 5]	[9, 6]	[9, 7]	[9, 8]	[9, 9]	[9, 10]	[10, 1]	[10, 2]	[10, 3]	[10, 4]	[10, 5]	[10, 6]	[10, 7]	[10, 8]	[10, 9]	[10, 10]
Running: [8, 6]	16	166	52	48	16	2	0	32	152	189	166	116	26	148	62	76	20	128	94	56	52	26	36	38	30	280	156	48	30	16	48	148	38	40	16	176	36	312	36	12	16	62	30	16	120	12	28	36	32	95	2	76	280	176	12	60	0	32	28	36	0	20	156	36	28	0	0	0	8	30	32	128	48	312	36	32	0	36	24	52	152	94	30	36	32	28	8	24	32	6	189	56	16	12	95	36	30	52	6	0
Running: [8, 7]	0	40	9	48	20	0	0	120	196	122	40	60	36	14	4	20	128	40	4	0	9	36	24	6	30	156	274	52	16	0	48	14	6	36	156	36	20	44	28	16	20	4	30	156	32	28	0	44	24	4	0	20	156	36	28	0	0	0	8	30	0	128	274	20	0	0	0	0	0	0	120	40	52	44	44	0	0	0	12	8	196	4	16	28	24	8	0	12	0	8	122	0	0	16	4	30	0	8	8	12
Running: [8, 8]	16	132	52	88	68	32	120	180	90	32	132	80	40	92	16	128	40	60	32	94	52	40	0	0	132	48	52	522	44	4	88	92	0	216	12	312	44	72	32	36	68	16	132	12	4	36	44	36	20	64	32	128	48	312	36	32	0	36	24	52	120	40	52	44	44	0	0	0	12	8	180	60	522	72	36	36	0	0	0	36	90	32	44	32	20	24	12	0	0	0	32	94	4	36	64	52	8	36	0	0
Running: [8, 9]	0	38	151	26	13	152	196	90	0	0	38	32	12	8	148	94	4	32	98	20	151	12	28	144	18	30	16	44	276	114	26	8	144	16	22	36	28	32	4	16	13	148	18	22	28	32	24	20	0	0	152	94	30	36	32	28	8	24	32	6	196	4	16	28	24	8	0	12	0	8	90	32	44	32	20	24	12	0	0	0	0	98	276	4	0	32	0	0	0	0	0	20	114	16	0	6	8	0	0	0
Running: [8, 10]	0	6	8	0	124	189	122	32	0	0	6	64	40	196	12	56	0	94	20	44	8	40	120	38	0	16	0	4	114	266	0	196	38	72	24	12	16	36	16	106	124	12	0	24	36	95	4	64	0	0	189	56	16	12	95	36	30	52	6	0	122	0	0	16	4	30	0	8	8	12	32	94	4	36	64	52	8	36	0	0	0	20	114	16	0	6	8	0	0	0	0	44	266	106	0	0	12	0	0	0
Running: [9, 1]	0	8	68	8	0	8	0	0	0	0	8	48	92	32	36	72	40	38	0	0	68	92	84	58	68	24	16	151	16	4	8	32	58	48	8	8	4	26	0	120	0	36	68	8	8	32	4	13	120	180	8	72	24	8	32	32	4	152	188	90	0	40	16	4	4	4	120	196	90	4	0	38	151	26	13	152	196	90	0	0	0	0	16	0	120	188	90	0	0	0	0	0	4	120	180	90	4	0	0	0
Running: [9, 2]	8	48	92	32	36	72	40	38	0	0	48	48	44	56	32	16	0	32	0	12	92	44	84	110	34	80	26	12	72	148	32	56	110	4	24	45	40	8	120	24	36	32	34	24	60	16	8	148	0	16	72	16	80	45	16	20	152	94	24	6	40	0	26	40	8	152	0	4	0	110	38	32	12	8	148	94	4	32	98	20	0	0	72	120	0	24	0	98	0	0	0	12	148	24	16	6	110	20	0	24
Running: [9, 3]	68	92	84	58	68	24	16	151	16	4	92	44	84	110	34	80	26	12	72	148	84	84	12	88	52	136	48	28	152	32	58	110	88	28	20	20	34	144	48	0	68	34	52	20	12	54	130	18	40	22	24	80	136	20	54	164	40	30	44	34	16	26	48	34	130	40	4	16	24	34	151	12	28	144	18	30	16	44	276	114	16	72	152	48	40	44	24	276	108	16	4	148	32	0	22	34	34	114	16	4
Running: [9, 4]	8	32	58	48	8	8	4	26	0	120	32	56	110	4	24	45	40	8	120	24	58	110	88	28	20	20	34	144	48	0	48	4	28	36	0	94	152	16	0	0	8	24	20	0	44	120	32	22	8	20	8	45	20	94	120	24	16	36	276	44	4	40	34	152	32	16	0	28	4	30	26	8	144	16	22	36	28	32	4	16	0	120	48	0	8	276	4	4	0	90	120	24	0	0	20	44	30	16	90	0
Running: [9, 5]	0	36	68	8	8	32	4	13	120	180	36	32	34	24	60	16	8	148	0	16	68	34	52	20	12	54	130	18	40	22	8	24	20	0	44	120	32	22	8	20	8	60	12	44	120	0	0	28	4	16	32	16	54	120	0	8	6	32	16	32	4	8	130	32	0	6	8	24	0	6	13	148	18	22	28	32	24	20	0	0	120	0	40	8	4	16	0	0	0	0	180	16	22	20	16	32	6	0	0	90
Running: [9, 6]	8	72	24	8	32	32	4	152	188	90	72	16	80	45	16	20	152	94	24	6	24	80	136	20	54	164	40	30	44	34	8	45	20	94	120	24	16	36	276	44	32	16	54	120	0	8	6	32	16	32	32	20	164	24	8	126	36	28	0	36	4	152	40	16	6	36	0	8	52	0	152	94	30	36	32	28	8	24	32	6	188	24	44	276	16	0	52	32	0	32	90	6	34	44	32	36	0	6	32	0
Running: [9, 7]	0	40	16	4	4	4	120	196	90	4	40	0	26	40	8	152	0	4	0	110	16	26	48	34	130	40	4	16	24	34	4	40	34	152	32	16	0	28	4	30	4	8	130	32	0	6	8	24	0	6	4	152	40	16	6	36	0	8	52	0	120	0	4	0	8	0	0	0	0	12	196	4	16	28	24	8	0	12	0	8	90	0	24	4	0	52	0	0	0	0	4	110	34	30	6	0	12	8	0	0
Running: [9, 8]	0	38	151	26	13	152	196	90	0	0	38	32	12	8	148	94	4	32	98	20	151	12	28	144	18	30	16	44	276	114	26	8	144	16	22	36	28	32	4	16	13	148	18	22	28	32	24	20	0	0	152	94	30	36	32	28	8	24	32	6	196	4	16	28	24	8	0	12	0	8	90	32	44	32	20	24	12	0	0	0	0	98	276	4	0	32	0	0	0	0	0	20	114	16	0	6	8	0	0	0
Running: [9, 9]	0	0	16	0	120	188	90	0	0	0	0	0	72	120	0	24	0	98	0	0	16	72	152	48	40	44	24	276	108	16	0	120	48	0	8	276	4	4	0	90	120	0	40	8	4	16	0	0	0	0	188	24	44	276	16	0	52	32	0	32	90	0	24	4	0	52	0	0	0	0	0	98	276	4	0	32	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	16	90	0	32	0	0	0	0
Running: [9, 10]	0	0	4	120	180	90	4	0	0	0	0	12	148	24	16	6	110	20	0	24	4	148	32	0	22	34	34	114	16	4	120	24	0	0	20	44	30	16	90	0	180	16	22	20	16	32	6	0	0	90	90	6	34	44	32	36	0	6	32	0	4	110	34	30	6	0	12	8	0	0	0	20	114	16	0	6	8	0	0	0	0	0	16	90	0	32	0	0	0	0	0	24	4	0	90	0	0	0	0	0
Running: [10, 1]	0	32	8	8	0	0	8	0	0	0	32	152	76	72	24	20	64	6	0	0	8	76	36	18	24	32	22	8	4	120	8	72	18	64	20	2	0	0	120	188	0	24	24	20	4	12	12	124	180	90	0	20	32	2	12	64	140	189	90	0	8	64	22	0	12	140	188	122	4	0	0	6	8	0	124	189	122	32	0	0	0	0	4	120	180	90	4	0	0	0	0	0	120	188	90	0	0	0	0	0
Running: [10, 2]	32	152	76	72	24	20	64	6	0	0	152	96	8	108	36	96	8	64	12	144	76	8	16	58	20	56	20	40	148	12	72	108	58	68	24	76	38	196	24	8	24	36	20	24	4	95	140	12	16	40	20	96	56	76	95	144	8	56	6	122	64	8	20	38	140	8	8	0	110	16	6	64	40	196	12	56	0	94	20	44	0	12	148	24	16	6	110	20	0	24	0	144	12	8	40	122	16	44	24	0
Running: [10, 3]	8	76	36	18	24	32	22	8	4	120	76	8	16	58	20	56	20	40	148	12	36	16	60	0	60	24	0	120	32	0	18	58	0	4	91	54	140	38	0	32	24	20	60	91	0	124	26	0	22	4	32	56	24	54	124	4	16	16	34	12	22	20	0	140	26	16	44	0	34	98	8	40	120	38	0	16	0	4	114	266	4	148	32	0	22	34	34	114	16	4	120	12	0	32	4	12	98	266	4	0
Running: [10, 4]	8	72	18	64	20	2	0	0	120	188	72	108	58	68	24	76	38	196	24	8	18	58	0	4	91	54	140	38	0	32	64	68	4	24	20	132	4	72	0	4	20	24	91	20	120	40	6	24	20	24	2	76	54	132	40	32	26	12	44	290	0	38	140	4	6	26	0	16	30	4	0	196	38	72	24	12	16	36	16	106	120	24	0	0	20	44	30	16	90	0	188	8	32	4	24	290	4	106	0	0
Running: [10, 5]	0	24	24	20	4	12	12	124	180	90	24	36	20	24	4	95	140	12	16	40	24	20	60	91	0	124	26	0	22	4	20	24	91	20	120	40	6	24	20	24	4	4	0	120	0	0	32	36	16	4	12	95	124	40	0	24	0	95	32	20	12	140	26	6	32	0	12	4	6	32	124	12	0	24	36	95	4	64	0	0	180	16	22	20	16	32	6	0	0	90	90	40	4	24	4	20	32	0	90	0
Running: [10, 6]	0	20	32	2	12	64	140	189	90	0	20	96	56	76	95	144	8	56	6	122	32	56	24	54	124	4	16	16	34	12	2	76	54	132	40	32	26	12	44	290	12	95	124	40	0	24	0	95	32	20	64	144	4	32	24	12	12	36	36	0	140	8	16	26	0	12	16	30	0	4	189	56	16	12	95	36	30	52	6	0	90	6	34	44	32	36	0	6	32	0	0	122	12	290	20	0	4	0	0	90
Running: [10, 7]	8	64	22	0	12	140	188	122	4	0	64	8	20	38	140	8	8	0	110	16	22	20	0	140	26	16	44	0	34	98	0	38	140	4	6	26	0	16	30	4	12	140	26	6	32	0	12	4	6	32	140	8	16	26	0	12	16	30	0	4	188	8	44	0	12	16	0	0	12	0	122	0	0	16	4	30	0	8	8	12	4	110	34	30	6	0	12	8	0	0	0	16	98	4	32	4	0	12	0	0
Running: [10, 8]	0	6	8	0	124	189	122	32	0	0	6	64	40	196	12	56	0	94	20	44	8	40	120	38	0	16	0	4	114	266	0	196	38	72	24	12	16	36	16	106	124	12	0	24	36	95	4	64	0	0	189	56	16	12	95	36	30	52	6	0	122	0	0	16	4	30	0	8	8	12	32	94	4	36	64	52	8	36	0	0	0	20	114	16	0	6	8	0	0	0	0	44	266	106	0	0	12	0	0	0
